row_id,ori_left,ori_right,coherence_left,coherence_right,correct_response,condition
0,90,270,0.25,0.25,left,0
1,90,270,0.4,0.4,left,0
2,90,270,0.15,0.9,left,0
3,90,270,0.4,0.25,left,0
4,270,270,0.25,0.25,no_target,0
5,270,90,0.4,0.4,right,0
6,270,270,0.4,0.25,no_target,0
7,270,270,0.25,0.4,no_target,0
8,90,270,0.15,0.9,left,0
9,270,270,0.25,0.25,no_target,0
10,270,270,0.25,0.4,no_target,0
11,90,270,0.15,0.9,left,0
12,270,270,0.15,0.9,no_target,0
13,270,90,0.4,0.25,right,0
14,270,270,0.4,0.25,no_target,0
15,270,270,0.25,0.4,no_target,0
16,90,270,0.4,0.4,left,0
17,90,270,0.15,0.9,left,0
18,90,270,0.25,0.4,left,0
19,90,270,0.15,0.9,left,0
20,270,90,0.15,0.9,right,0
21,270,270,0.15,0.9,no_target,0
22,270,270,0.4,0.4,no_target,0
23,270,270,0.15,0.9,no_target,0
24,270,270,0.25,0.25,no_target,0
25,270,90,0.25,0.25,right,0
26,270,270,0.15,0.9,no_target,0
27,270,270,0.15,0.9,no_target,0
28,270,90,0.4,0.4,right,0
29,270,270,0.15,0.9,no_target,0
30,90,270,0.15,0.9,left,0
31,90,270,0.15,0.9,left,0
32,270,90,0.15,0.9,right,0
33,270,90,0.15,0.9,right,0
34,270,270,0.15,0.9,no_target,0
35,90,270,0.25,0.25,left,0
36,270,270,0.15,0.9,no_target,0
37,270,270,0.4,0.25,no_target,0
38,90,270,0.25,0.25,left,0
39,90,270,0.4,0.25,left,0
40,270,270,0.4,0.4,no_target,0
41,90,270,0.15,0.9,left,0
42,270,90,0.15,0.9,right,0
43,270,270,0.25,0.25,no_target,0
44,270,90,0.4,0.25,right,0
45,270,90,0.25,0.4,right,0
46,90,270,0.25,0.4,left,0
47,270,90,0.25,0.4,right,0
48,270,90,0.25,0.25,right,0
49,270,90,0.15,0.9,right,0
50,90,270,0.4,0.25,left,0
51,270,90,0.15,0.9,right,0
52,270,90,0.15,0.9,right,0
53,270,270,0.25,0.4,no_target,0
54,270,90,0.15,0.9,right,0
55,90,270,0.25,0.25,left,0
56,90,270,0.15,0.9,left,0
57,270,90,0.25,0.25,right,0
58,270,90,0.25,0.4,right,0
59,270,90,0.15,0.9,right,0
60,270,270,0.15,0.9,no_target,0
61,270,90,0.25,0.25,right,0
62,90,270,0.4,0.4,left,0
63,270,90,0.15,0.9,right,0
64,90,270,0.4,0.25,left,0
65,90,270,0.25,0.4,left,0
66,90,270,0.4,0.4,left,0
67,270,90,0.4,0.25,right,0
68,270,90,0.15,0.9,right,0
69,270,270,0.15,0.9,no_target,0
70,90,270,0.4,0.4,left,0
71,270,270,0.15,0.9,no_target,0
72,90,270,0.25,0.4,left,0
73,270,270,0.25,0.4,no_target,0
74,270,270,0.4,0.25,no_target,0
75,270,90,0.4,0.4,right,0
76,270,270,0.4,0.25,no_target,0
77,90,270,0.25,0.4,left,0
78,270,90,0.25,0.4,right,0
79,90,270,0.15,0.9,left,0
80,270,90,0.4,0.4,right,0
81,270,270,0.4,0.4,no_target,0
82,270,270,0.4,0.4,no_target,0
83,270,90,0.4,0.4,right,0
84,270,270,0.15,0.9,no_target,0
85,270,90,0.4,0.25,right,0
86,90,270,0.25,0.25,left,0
87,90,270,0.15,0.9,left,0
88,270,90,0.25,0.25,right,0
89,270,270,0.25,0.25,no_target,0
90,270,90,0.4,0.25,right,0
91,270,270,0.4,0.4,no_target,0
92,90,270,0.15,0.9,left,0
93,90,270,0.15,0.9,left,0
94,270,90,0.25,0.4,right,0
95,270,270,0.15,0.9,no_target,0
96,270,90,0.15,0.9,right,0
97,90,270,0.4,0.25,left,0
98,270,90,0.15,0.9,right,0
