row_id,ori_left,ori_right,coherence_left,coherence_right,correct_response,condition
0,270,270,0.15,0.9,no_target,0
1,90,270,0.4,0.4,left,0
2,270,90,0.15,0.9,right,0
3,270,270,0.4,0.25,no_target,0
4,270,270,0.4,0.25,no_target,0
5,270,90,0.15,0.9,right,0
6,270,90,0.25,0.25,right,0
7,90,270,0.4,0.25,left,0
8,270,90,0.25,0.4,right,0
9,270,270,0.4,0.4,no_target,0
10,270,270,0.25,0.25,no_target,0
11,90,270,0.4,0.25,left,0
12,90,270,0.15,0.9,left,0
13,270,90,0.25,0.25,right,0
14,270,90,0.25,0.4,right,0
15,270,270,0.4,0.25,no_target,0
16,90,270,0.25,0.25,left,0
17,270,270,0.4,0.4,no_target,0
18,270,90,0.15,0.9,right,0
19,90,270,0.15,0.9,left,0
20,270,270,0.25,0.4,no_target,0
21,270,270,0.25,0.4,no_target,0
22,270,270,0.25,0.25,no_target,0
23,90,270,0.15,0.9,left,0
24,270,270,0.15,0.9,no_target,0
25,270,90,0.25,0.4,right,0
26,270,270,0.4,0.4,no_target,0
27,270,270,0.15,0.9,no_target,0
28,270,90,0.15,0.9,right,0
29,90,270,0.15,0.9,left,0
30,90,270,0.15,0.9,left,0
31,270,270,0.15,0.9,no_target,0
32,270,90,0.4,0.25,right,0
33,90,270,0.25,0.25,left,0
34,270,270,0.15,0.9,no_target,0
35,270,270,0.15,0.9,no_target,0
36,270,270,0.25,0.25,no_target,0
37,90,270,0.25,0.4,left,0
38,270,90,0.15,0.9,right,0
39,270,90,0.4,0.4,right,0
40,270,90,0.15,0.9,right,0
41,270,90,0.15,0.9,right,0
42,270,90,0.4,0.4,right,0
43,270,90,0.15,0.9,right,0
44,270,90,0.25,0.4,right,0
45,90,270,0.15,0.9,left,0
46,90,270,0.4,0.25,left,0
47,270,270,0.25,0.4,no_target,0
48,90,270,0.25,0.4,left,0
49,270,270,0.25,0.4,no_target,0
50,270,270,0.4,0.4,no_target,0
51,90,270,0.25,0.4,left,0
52,270,270,0.4,0.4,no_target,0
53,270,270,0.15,0.9,no_target,0
54,270,90,0.25,0.25,right,0
55,90,270,0.25,0.25,left,0
56,90,270,0.4,0.4,left,0
57,270,90,0.4,0.25,right,0
58,90,270,0.4,0.25,left,0
59,90,270,0.15,0.9,left,0
60,270,270,0.4,0.25,no_target,0
61,90,270,0.25,0.4,left,0
62,270,90,0.25,0.25,right,0
63,90,270,0.15,0.9,left,0
64,270,90,0.4,0.25,right,0
65,270,270,0.25,0.4,no_target,0
66,270,270,0.15,0.9,no_target,0
67,270,270,0.15,0.9,no_target,0
68,270,270,0.15,0.9,no_target,0
69,270,90,0.4,0.4,right,0
70,270,270,0.25,0.25,no_target,0
71,90,270,0.4,0.25,left,0
72,90,270,0.4,0.4,left,0
73,270,270,0.15,0.9,no_target,0
74,90,270,0.25,0.4,left,0
75,270,270,0.15,0.9,no_target,0
76,270,90,0.15,0.9,right,0
77,90,270,0.25,0.25,left,0
78,90,270,0.15,0.9,left,0
79,270,90,0.25,0.4,right,0
80,270,270,0.15,0.9,no_target,0
81,270,90,0.15,0.9,right,0
82,90,270,0.15,0.9,left,0
83,90,270,0.4,0.4,left,0
84,270,90,0.4,0.4,right,0
85,270,90,0.15,0.9,right,0
86,90,270,0.15,0.9,left,0
87,270,90,0.4,0.25,right,0
88,270,90,0.25,0.25,right,0
89,270,270,0.4,0.25,no_target,0
90,270,90,0.15,0.9,right,0
91,90,270,0.4,0.4,left,0
92,90,270,0.15,0.9,left,0
93,270,90,0.4,0.25,right,0
94,270,270,0.25,0.25,no_target,0
95,90,270,0.25,0.25,left,0
96,270,90,0.15,0.9,right,0
97,270,90,0.4,0.4,right,0
98,90,270,0.15,0.9,left,0
