row_id,ori_left,ori_right,coherence_left,coherence_right,correct_response,condition
0,270,90,0.4,0.25,right,0
1,90,270,0.25,0.4,left,0
2,270,90,0.25,0.25,right,0
3,270,270,0.15,0.9,no_target,0
4,270,90,0.15,0.9,right,0
5,90,270,0.15,0.9,left,0
6,90,270,0.25,0.25,left,0
7,270,90,0.25,0.4,right,0
8,270,90,0.15,0.9,right,0
9,270,270,0.25,0.25,no_target,0
10,270,270,0.4,0.25,no_target,0
11,270,90,0.15,0.9,right,0
12,270,270,0.25,0.25,no_target,0
13,270,90,0.4,0.25,right,0
14,90,270,0.15,0.9,left,0
15,270,270,0.15,0.9,no_target,0
16,270,270,0.15,0.9,no_target,0
17,270,270,0.15,0.9,no_target,0
18,90,270,0.15,0.9,left,0
19,270,270,0.4,0.4,no_target,0
20,270,90,0.15,0.9,right,0
21,90,270,0.15,0.9,left,0
22,270,90,0.4,0.25,right,0
23,270,270,0.4,0.25,no_target,0
24,90,270,0.15,0.9,left,0
25,270,270,0.4,0.25,no_target,0
26,270,90,0.4,0.4,right,0
27,270,270,0.4,0.4,no_target,0
28,90,270,0.15,0.9,left,0
29,90,270,0.4,0.25,left,0
30,270,270,0.4,0.4,no_target,0
31,270,90,0.25,0.25,right,0
32,270,90,0.25,0.4,right,0
33,270,90,0.25,0.4,right,0
34,270,90,0.4,0.25,right,0
35,90,270,0.4,0.4,left,0
36,270,270,0.25,0.25,no_target,0
37,270,90,0.25,0.25,right,0
38,270,90,0.4,0.4,right,0
39,270,270,0.4,0.4,no_target,0
40,270,270,0.15,0.9,no_target,0
41,270,90,0.25,0.4,right,0
42,270,90,0.15,0.9,right,0
43,270,270,0.4,0.25,no_target,0
44,270,270,0.25,0.4,no_target,0
45,270,270,0.15,0.9,no_target,0
46,90,270,0.4,0.25,left,0
47,270,90,0.15,0.9,right,0
48,270,90,0.15,0.9,right,0
49,90,270,0.25,0.25,left,0
50,90,270,0.15,0.9,left,0
51,270,90,0.4,0.4,right,0
52,270,270,0.15,0.9,no_target,0
53,270,90,0.15,0.9,right,0
54,270,90,0.25,0.25,right,0
55,90,270,0.25,0.4,left,0
56,90,270,0.4,0.4,left,0
57,90,270,0.4,0.4,left,0
58,270,270,0.15,0.9,no_target,0
59,90,270,0.25,0.4,left,0
60,90,270,0.4,0.4,left,0
61,270,90,0.15,0.9,right,0
62,90,270,0.15,0.9,left,0
63,270,90,0.15,0.9,right,0
64,270,270,0.15,0.9,no_target,0
65,270,270,0.25,0.25,no_target,0
66,90,270,0.25,0.4,left,0
67,270,90,0.4,0.4,right,0
68,90,270,0.15,0.9,left,0
69,270,90,0.25,0.4,right,0
70,270,270,0.25,0.4,no_target,0
71,270,270,0.25,0.4,no_target,0
72,90,270,0.25,0.25,left,0
73,90,270,0.25,0.25,left,0
74,270,270,0.4,0.4,no_target,0
75,270,270,0.25,0.4,no_target,0
76,270,270,0.4,0.25,no_target,0
77,90,270,0.4,0.25,left,0
78,90,270,0.4,0.25,left,0
79,270,270,0.25,0.4,no_target,0
80,270,270,0.15,0.9,no_target,0
81,90,270,0.25,0.4,left,0
82,270,270,0.15,0.9,no_target,0
83,90,270,0.15,0.9,left,0
84,90,270,0.4,0.4,left,0
85,270,90,0.4,0.25,right,0
86,90,270,0.15,0.9,left,0
87,270,90,0.15,0.9,right,0
88,90,270,0.25,0.25,left,0
89,270,90,0.25,0.25,right,0
90,270,90,0.15,0.9,right,0
91,270,270,0.15,0.9,no_target,0
92,90,270,0.15,0.9,left,0
93,270,270,0.15,0.9,no_target,0
94,270,270,0.25,0.25,no_target,0
95,90,270,0.4,0.25,left,0
96,270,90,0.15,0.9,right,0
97,90,270,0.15,0.9,left,0
98,270,90,0.4,0.4,right,0
