row_id,ori_left,ori_right,coherence_left,coherence_right,correct_response,condition
0,90,270,0.15,0.9,left,0
1,90,270,0.25,0.4,left,0
2,90,270,0.4,0.25,left,0
3,270,90,0.15,0.9,right,0
4,90,270,0.4,0.4,left,0
5,270,90,0.25,0.4,right,0
6,90,270,0.15,0.9,left,0
7,270,270,0.25,0.4,no_target,0
8,90,270,0.25,0.4,left,0
9,270,90,0.15,0.9,right,0
10,90,270,0.25,0.25,left,0
11,90,270,0.25,0.25,left,0
12,270,90,0.25,0.25,right,0
13,270,270,0.25,0.4,no_target,0
14,270,90,0.4,0.4,right,0
15,270,270,0.25,0.4,no_target,0
16,270,270,0.4,0.4,no_target,0
17,270,90,0.25,0.4,right,0
18,270,90,0.4,0.25,right,0
19,270,90,0.15,0.9,right,0
20,270,90,0.15,0.9,right,0
21,270,90,0.4,0.25,right,0
22,270,270,0.4,0.25,no_target,0
23,270,270,0.4,0.4,no_target,0
24,270,270,0.4,0.25,no_target,0
25,270,270,0.15,0.9,no_target,0
26,90,270,0.25,0.25,left,0
27,90,270,0.4,0.25,left,0
28,270,270,0.4,0.25,no_target,0
29,90,270,0.15,0.9,left,0
30,270,270,0.25,0.4,no_target,0
31,90,270,0.15,0.9,left,0
32,270,270,0.4,0.25,no_target,0
33,270,90,0.15,0.9,right,0
34,270,90,0.15,0.9,right,0
35,270,270,0.15,0.9,no_target,0
36,90,270,0.25,0.4,left,0
37,270,90,0.25,0.25,right,0
38,270,90,0.25,0.25,right,0
39,270,90,0.15,0.9,right,0
40,90,270,0.4,0.4,left,0
41,270,90,0.25,0.4,right,0
42,270,90,0.25,0.4,right,0
43,270,270,0.4,0.25,no_target,0
44,270,270,0.15,0.9,no_target,0
45,270,90,0.15,0.9,right,0
46,90,270,0.25,0.4,left,0
47,270,270,0.15,0.9,no_target,0
48,270,90,0.15,0.9,right,0
49,270,270,0.25,0.25,no_target,0
50,270,90,0.4,0.4,right,0
51,270,90,0.25,0.25,right,0
52,90,270,0.4,0.25,left,0
53,270,90,0.4,0.4,right,0
54,270,270,0.4,0.4,no_target,0
55,270,270,0.15,0.9,no_target,0
56,90,270,0.25,0.4,left,0
57,90,270,0.4,0.4,left,0
58,270,90,0.15,0.9,right,0
59,90,270,0.15,0.9,left,0
60,90,270,0.15,0.9,left,0
61,270,90,0.4,0.25,right,0
62,90,270,0.15,0.9,left,0
63,90,270,0.15,0.9,left,0
64,270,90,0.4,0.4,right,0
65,270,270,0.25,0.25,no_target,0
66,90,270,0.15,0.9,left,0
67,270,90,0.15,0.9,right,0
68,90,270,0.25,0.25,left,0
69,270,270,0.4,0.4,no_target,0
70,270,270,0.15,0.9,no_target,0
71,90,270,0.15,0.9,left,0
72,270,270,0.15,0.9,no_target,0
73,270,90,0.4,0.25,right,0
74,90,270,0.15,0.9,left,0
75,270,90,0.15,0.9,right,0
76,270,270,0.15,0.9,no_target,0
77,270,270,0.15,0.9,no_target,0
78,270,270,0.15,0.9,no_target,0
79,270,270,0.4,0.4,no_target,0
80,270,90,0.4,0.4,right,0
81,270,270,0.25,0.25,no_target,0
82,270,90,0.15,0.9,right,0
83,270,270,0.15,0.9,no_target,0
84,90,270,0.4,0.25,left,0
85,90,270,0.25,0.25,left,0
86,90,270,0.15,0.9,left,0
87,270,270,0.25,0.25,no_target,0
88,270,90,0.25,0.4,right,0
89,90,270,0.4,0.4,left,0
90,270,270,0.15,0.9,no_target,0
91,90,270,0.15,0.9,left,0
92,90,270,0.4,0.25,left,0
93,270,270,0.25,0.25,no_target,0
94,270,90,0.25,0.25,right,0
95,270,270,0.15,0.9,no_target,0
96,270,90,0.4,0.25,right,0
97,90,270,0.4,0.4,left,0
98,270,270,0.25,0.4,no_target,0
