row_id,ori_left,ori_right,coherence_left,coherence_right,correct_response,condition
0,90,270,0.4,0.4,left,1
1,90,270,0.9,0.2,left,1
2,90,270,0.5,0.5,left,1
3,90,270,0.9,0.2,left,1
4,90,270,0.9,0.2,left,1
5,270,90,0.4,0.4,right,1
6,270,270,0.4,0.5,no_target,1
7,270,270,0.5,0.5,no_target,1
8,270,270,0.5,0.4,no_target,1
9,270,90,0.9,0.2,right,1
10,90,270,0.9,0.2,left,1
11,270,90,0.4,0.5,right,1
12,270,90,0.5,0.4,right,1
13,270,90,0.4,0.4,right,1
14,270,90,0.5,0.4,right,1
15,270,270,0.4,0.4,no_target,1
16,270,90,0.9,0.2,right,1
17,270,270,0.5,0.4,no_target,1
18,90,270,0.4,0.4,left,1
19,270,90,0.9,0.2,right,1
20,90,270,0.9,0.2,left,1
21,270,270,0.9,0.2,no_target,1
22,270,270,0.4,0.4,no_target,1
23,270,270,0.5,0.5,no_target,1
24,270,270,0.9,0.2,no_target,1
25,270,90,0.9,0.2,right,1
26,270,90,0.9,0.2,right,1
27,270,270,0.9,0.2,no_target,1
28,90,270,0.5,0.5,left,1
29,270,270,0.9,0.2,no_target,1
30,270,90,0.4,0.4,right,1
31,270,90,0.9,0.2,right,1
32,270,270,0.5,0.5,no_target,1
33,270,90,0.9,0.2,right,1
34,270,270,0.5,0.4,no_target,1
35,270,270,0.9,0.2,no_target,1
36,270,90,0.5,0.4,right,1
37,270,90,0.9,0.2,right,1
38,270,90,0.4,0.4,right,1
39,90,270,0.5,0.5,left,1
40,90,270,0.4,0.4,left,1
41,270,90,0.4,0.5,right,1
42,270,270,0.9,0.2,no_target,1
43,270,270,0.5,0.4,no_target,1
44,90,270,0.5,0.4,left,1
45,270,90,0.5,0.4,right,1
46,90,270,0.5,0.5,left,1
47,270,90,0.9,0.2,right,1
48,270,270,0.5,0.4,no_target,1
49,270,90,0.4,0.5,right,1
50,90,270,0.4,0.5,left,1
51,270,90,0.5,0.4,right,1
52,270,270,0.4,0.5,no_target,1
53,90,270,0.9,0.2,left,1
54,270,90,0.5,0.5,right,1
55,90,270,0.5,0.4,left,1
56,270,270,0.9,0.2,no_target,1
57,270,270,0.9,0.2,no_target,1
58,90,270,0.9,0.2,left,1
59,270,90,0.4,0.5,right,1
60,270,270,0.5,0.5,no_target,1
61,90,270,0.9,0.2,left,1
62,90,270,0.4,0.5,left,1
63,270,270,0.5,0.5,no_target,1
64,270,270,0.4,0.5,no_target,1
65,270,90,0.5,0.5,right,1
66,270,270,0.9,0.2,no_target,1
67,90,270,0.4,0.5,left,1
68,90,270,0.5,0.4,left,1
69,270,270,0.9,0.2,no_target,1
70,90,270,0.4,0.4,left,1
71,90,270,0.4,0.4,left,1
72,270,270,0.9,0.2,no_target,1
73,90,270,0.9,0.2,left,1
74,270,90,0.5,0.5,right,1
75,90,270,0.9,0.2,left,1
76,90,270,0.4,0.5,left,1
77,90,270,0.5,0.4,left,1
78,90,270,0.9,0.2,left,1
79,270,270,0.4,0.4,no_target,1
80,270,90,0.5,0.5,right,1
81,270,270,0.4,0.5,no_target,1
82,270,270,0.4,0.5,no_target,1
83,270,90,0.5,0.5,right,1
84,90,270,0.9,0.2,left,1
85,270,270,0.4,0.4,no_target,1
86,270,270,0.9,0.2,no_target,1
87,270,270,0.4,0.4,no_target,1
88,90,270,0.5,0.5,left,1
89,90,270,0.5,0.4,left,1
90,90,270,0.4,0.5,left,1
91,90,270,0.9,0.2,left,1
92,270,270,0.9,0.2,no_target,1
93,270,90,0.9,0.2,right,1
94,270,90,0.9,0.2,right,1
95,270,90,0.4,0.4,right,1
96,270,90,0.9,0.2,right,1
97,270,90,0.9,0.2,right,1
98,270,90,0.4,0.5,right,1
