row_id,ori_left,ori_right,coherence_left,coherence_right,correct_response,condition
0,270,270,0.9,0.2,no_target,1
1,270,90,0.4,0.5,right,1
2,270,90,0.4,0.4,right,1
3,270,270,0.4,0.4,no_target,1
4,270,90,0.9,0.2,right,1
5,270,90,0.5,0.5,right,1
6,270,90,0.9,0.2,right,1
7,90,270,0.4,0.5,left,1
8,270,270,0.4,0.5,no_target,1
9,270,90,0.4,0.4,right,1
10,270,90,0.5,0.5,right,1
11,270,270,0.9,0.2,no_target,1
12,270,90,0.9,0.2,right,1
13,90,270,0.9,0.2,left,1
14,270,270,0.4,0.4,no_target,1
15,270,90,0.5,0.5,right,1
16,90,270,0.9,0.2,left,1
17,270,90,0.9,0.2,right,1
18,90,270,0.9,0.2,left,1
19,270,270,0.5,0.4,no_target,1
20,270,90,0.5,0.4,right,1
21,90,270,0.9,0.2,left,1
22,270,270,0.4,0.4,no_target,1
23,270,270,0.5,0.4,no_target,1
24,270,90,0.4,0.4,right,1
25,270,90,0.9,0.2,right,1
26,270,270,0.9,0.2,no_target,1
27,270,270,0.9,0.2,no_target,1
28,270,270,0.4,0.5,no_target,1
29,90,270,0.4,0.4,left,1
30,270,270,0.9,0.2,no_target,1
31,270,270,0.5,0.4,no_target,1
32,270,90,0.9,0.2,right,1
33,90,270,0.5,0.5,left,1
34,270,90,0.4,0.5,right,1
35,270,90,0.4,0.5,right,1
36,270,270,0.9,0.2,no_target,1
37,270,270,0.5,0.5,no_target,1
38,90,270,0.4,0.4,left,1
39,90,270,0.5,0.5,left,1
40,270,270,0.4,0.5,no_target,1
41,90,270,0.9,0.2,left,1
42,90,270,0.4,0.4,left,1
43,270,270,0.9,0.2,no_target,1
44,270,90,0.9,0.2,right,1
45,90,270,0.5,0.4,left,1
46,270,270,0.5,0.5,no_target,1
47,270,90,0.4,0.5,right,1
48,90,270,0.5,0.5,left,1
49,270,270,0.9,0.2,no_target,1
50,270,270,0.9,0.2,no_target,1
51,270,270,0.5,0.5,no_target,1
52,90,270,0.9,0.2,left,1
53,90,270,0.4,0.5,left,1
54,270,270,0.4,0.5,no_target,1
55,270,270,0.5,0.4,no_target,1
56,270,270,0.5,0.5,no_target,1
57,90,270,0.5,0.5,left,1
58,270,90,0.9,0.2,right,1
59,270,90,0.9,0.2,right,1
60,90,270,0.4,0.5,left,1
61,270,270,0.9,0.2,no_target,1
62,90,270,0.9,0.2,left,1
63,270,90,0.5,0.4,right,1
64,270,90,0.5,0.5,right,1
65,270,90,0.9,0.2,right,1
66,90,270,0.9,0.2,left,1
67,270,270,0.9,0.2,no_target,1
68,270,270,0.5,0.5,no_target,1
69,90,270,0.5,0.4,left,1
70,270,270,0.9,0.2,no_target,1
71,90,270,0.4,0.4,left,1
72,90,270,0.4,0.5,left,1
73,270,90,0.9,0.2,right,1
74,90,270,0.5,0.4,left,1
75,270,270,0.9,0.2,no_target,1
76,270,90,0.9,0.2,right,1
77,270,270,0.4,0.5,no_target,1
78,90,270,0.5,0.4,left,1
79,90,270,0.9,0.2,left,1
80,90,270,0.5,0.4,left,1
81,270,90,0.5,0.4,right,1
82,270,270,0.4,0.4,no_target,1
83,90,270,0.9,0.2,left,1
84,270,90,0.4,0.5,right,1
85,90,270,0.9,0.2,left,1
86,270,90,0.5,0.5,right,1
87,90,270,0.4,0.4,left,1
88,270,90,0.4,0.4,right,1
89,270,90,0.5,0.4,right,1
90,90,270,0.4,0.5,left,1
91,270,90,0.9,0.2,right,1
92,90,270,0.9,0.2,left,1
93,270,270,0.5,0.4,no_target,1
94,270,90,0.4,0.4,right,1
95,90,270,0.9,0.2,left,1
96,270,90,0.5,0.4,right,1
97,270,270,0.4,0.4,no_target,1
98,90,270,0.5,0.5,left,1
