row_id,ori_left,ori_right,coherence_left,coherence_right,correct_response,condition
0,90,270,0.9,0.2,left,1
1,270,270,0.9,0.2,no_target,1
2,90,270,0.5,0.5,left,1
3,270,270,0.9,0.2,no_target,1
4,270,270,0.9,0.2,no_target,1
5,90,270,0.5,0.5,left,1
6,270,90,0.9,0.2,right,1
7,270,270,0.4,0.4,no_target,1
8,270,270,0.9,0.2,no_target,1
9,90,270,0.9,0.2,left,1
10,270,90,0.5,0.5,right,1
11,270,270,0.4,0.4,no_target,1
12,270,90,0.4,0.4,right,1
13,90,270,0.4,0.4,left,1
14,90,270,0.9,0.2,left,1
15,90,270,0.9,0.2,left,1
16,90,270,0.4,0.4,left,1
17,90,270,0.9,0.2,left,1
18,270,90,0.9,0.2,right,1
19,90,270,0.9,0.2,left,1
20,90,270,0.9,0.2,left,1
21,90,270,0.4,0.5,left,1
22,270,90,0.4,0.5,right,1
23,90,270,0.9,0.2,left,1
24,270,270,0.9,0.2,no_target,1
25,270,90,0.5,0.5,right,1
26,90,270,0.9,0.2,left,1
27,90,270,0.5,0.5,left,1
28,270,270,0.5,0.4,no_target,1
29,270,90,0.5,0.4,right,1
30,270,90,0.9,0.2,right,1
31,270,90,0.4,0.5,right,1
32,270,90,0.4,0.5,right,1
33,270,90,0.9,0.2,right,1
34,90,270,0.4,0.5,left,1
35,270,270,0.4,0.5,no_target,1
36,270,270,0.9,0.2,no_target,1
37,90,270,0.5,0.5,left,1
38,90,270,0.5,0.4,left,1
39,90,270,0.9,0.2,left,1
40,90,270,0.5,0.4,left,1
41,270,90,0.4,0.5,right,1
42,270,270,0.5,0.4,no_target,1
43,270,90,0.4,0.4,right,1
44,90,270,0.9,0.2,left,1
45,270,270,0.4,0.5,no_target,1
46,270,270,0.4,0.4,no_target,1
47,270,270,0.9,0.2,no_target,1
48,90,270,0.5,0.4,left,1
49,270,270,0.5,0.4,no_target,1
50,270,270,0.9,0.2,no_target,1
51,90,270,0.4,0.5,left,1
52,270,270,0.4,0.5,no_target,1
53,270,270,0.5,0.4,no_target,1
54,270,270,0.9,0.2,no_target,1
55,270,270,0.5,0.5,no_target,1
56,270,90,0.5,0.5,right,1
57,90,270,0.5,0.4,left,1
58,270,270,0.9,0.2,no_target,1
59,270,90,0.5,0.4,right,1
60,90,270,0.9,0.2,left,1
61,270,90,0.9,0.2,right,1
62,270,270,0.5,0.5,no_target,1
63,270,270,0.9,0.2,no_target,1
64,270,90,0.4,0.5,right,1
65,90,270,0.4,0.4,left,1
66,270,270,0.4,0.5,no_target,1
67,270,90,0.9,0.2,right,1
68,270,270,0.5,0.5,no_target,1
69,270,90,0.4,0.4,right,1
70,270,90,0.5,0.5,right,1
71,270,90,0.4,0.4,right,1
72,270,270,0.9,0.2,no_target,1
73,270,270,0.4,0.5,no_target,1
74,90,270,0.4,0.5,left,1
75,270,90,0.5,0.5,right,1
76,90,270,0.4,0.4,left,1
77,270,270,0.4,0.4,no_target,1
78,90,270,0.5,0.5,left,1
79,270,270,0.5,0.4,no_target,1
80,270,270,0.4,0.4,no_target,1
81,270,90,0.4,0.4,right,1
82,270,90,0.9,0.2,right,1
83,270,90,0.9,0.2,right,1
84,270,270,0.5,0.5,no_target,1
85,270,90,0.9,0.2,right,1
86,270,90,0.9,0.2,right,1
87,270,90,0.5,0.4,right,1
88,90,270,0.9,0.2,left,1
89,270,90,0.9,0.2,right,1
90,270,90,0.5,0.4,right,1
91,90,270,0.4,0.5,left,1
92,90,270,0.5,0.4,left,1
93,90,270,0.4,0.4,left,1
94,270,90,0.5,0.4,right,1
95,270,270,0.9,0.2,no_target,1
96,270,90,0.9,0.2,right,1
97,270,270,0.5,0.5,no_target,1
98,270,90,0.9,0.2,right,1
